Tejhaun Palmer,WR,30,479,16.0,75,2
Caleb Ducking,WR,46,477,10.4,35,8
Hassan Beydoun,WR,49,473,9.7,38,4
Kris Hutson,WR,44,472,10.7,58,0
Rakim Jarrett,WR,40,471,11.8,49,3
Marcus Washington,WR,31,471,15.2,33,1
Samuel Brown,WR,41,471,11.5,32,4
Darius Lassiter,WR,40,471,11.8,45,4
Malachai Jones,WR,37,470,12.7,44,2
Jordyn Tyson,WR,22,470,21.4,81,4
Jalil Farooq,WR,37,466,12.6,41,5
Billy Bowens,WR,32,462,14.4,53,4
Kody Epps,WR,39,459,11.8,53,6
Dalevon Campbell,WR,38,459,12.1,73,1
Christian Sims,TE,45,458,10.2,35,2
Var'Keyes Gumms,TE,34,458,13.5,54,5
Barrett Banister,WR,44,457,10.4,29,0
Anthony Gould,WR,27,457,16.9,74,3
Kade Warner,WR,46,456,9.9,41,5
Tanner McLachlan,TE,34,456,13.4,30,2
Darnell Washington,TE,28,454,16.2,34,2
Pat Bryant,WR,34,453,13.3,43,2
Jayden McGowan,WR,44,453,10.3,75,3
Brian Hightower,WR,37,452,12.2,35,2
Loic Fouonji,WR,34,451,13.3,39,3
Justin McGriff,WR,31,450,14.5,41,4
Jordan Watkins,WR,40,449,11.2,61,2
Ben Sinnott,TE,31,447,14.4,39,4
Jakarius Caston,WR,31,446,14.4,55,5
Joel Wilson,TE,44,445,10.1,23,6
Benjamin Yurosek,TE,49,445,9.1,31,1
Noah Frith,WR,25,444,17.8,60,1
Jahmyr Gibbs,RB,44,444,10.1,60,3
Skyler Bell,WR,30,444,14.8,49,5
Davis Allen,TE,39,443,11.4,41,5
Mason Fairchild,TE,35,443,12.7,48,6
Dalvin Smith,WR,35,443,12.7,47,4
Yo'Heinz Tyler,WR,49,441,9.0,23,1
Dashaun Davis,WR,37,441,11.9,44,3
Sean Ryan,WR,26,440,16.9,55,3
Quentin Skinner,WR,26,440,16.9,56,5
Justice Powers,WR,20,440,22.0,69,1
Oscar Cardenas,TE,31,438,14.1,54,2
Adonicas Sanders,WR,37,437,11.8,50,2
Nick Williams,WR,28,435,15.5,70,2
Marshon Ford,TE,33,434,13.2,39,3
J.J. Jones,WR,24,434,18.1,74,2
Kacper Rutkiewicz,WR,26,432,16.6,63,6
Griffin Hebert,TE,23,431,18.7,75,3
Dontayvion Wicks,WR,30,430,14.3,44,2
Isaiah Epps,WR,37,429,11.6,54,5
Damien Alford,WR,20,429,21.5,58,2
Rivaldo Fairweather,TE,28,426,15.2,75,3
Justus Ross-Simmons,WR,26,424,16.3,76,3
Jalin Conyers,TE,38,422,11.1,47,5
Dimitri Stanley,WR,33,420,12.7,53,1
Kaedin Robinson,WR,27,419,15.5,57,2
Michael Wilson,WR,26,418,16.1,78,4
Luke Schoonmaker,TE,35,418,11.9,40,3
Cedric Tillman,WR,37,417,11.3,61,3
Money Parks,WR,26,414,15.9,57,2
Mason Taylor,TE,38,414,10.9,38,3
Ryan Jones,TE,41,413,10.1,25,4
Joseph Scates,WR,18,412,22.9,79,4
Xzavier Henderson,WR,38,410,10.8,78,2
Emery Simmons,WR,37,408,11.0,40,1
Joshua Cobbs,WR,35,407,11.6,51,2
Victor Tucker,WR,41,406,9.9,41,6
Devin Carter,WR,25,406,16.2,52,2
Cade Stover,TE,36,406,11.3,38,5
Jaray Jenkins,WR,27,404,15.0,54,6
David Cormier,WR,15,404,26.9,80,4
Kazmeir Allen,RB,49,403,8.2,55,2
George Johnson III,WR,28,402,14.4,53,1
Chuck Montgomery,WR,36,402,11.2,71,1
Reggie Brown,TE,4,16,4.0,5,1
Bub Means,WR,27,401,14.9,45,2
Sahmir Hagans,WR,31,400,12.9,41,5
Terrance Greene Jr.,WR,22,399,18.1,62,2
Luke Lachey,TE,28,398,14.2,34,4
Stefan Cobbs,WR,29,396,13.7,37,2
Jake Roberts,TE,28,394,14.1,70,3
Nehemiah Martinez I,WR,32,394,12.3,43,2
Drake Stoops,WR,39,393,10.1,33,3
Jadon Thompson,WR,27,393,14.6,39,1
Savion Williams,WR,29,392,13.5,57,4
Erik Brooks,WR,37,391,10.6,39,3
Terrance Ferguson,TE,32,391,12.2,53,5
Miles Marshall,WR,24,390,16.3,76,2
KeAndre Lambert-Smith,WR,24,389,16.2,88,4
Jaelen Gill,WR,27,388,14.4,50,0
Nico Ragaini,WR,34,386,11.4,46,1
Josh Cameron,WR,28,386,13.8,42,0
Yusuf Ali,WR,51,385,7.5,38,2
Aron Cruickshank,WR,42,385,9.2,40,2
Tiaquelin Mims,WR,25,384,15.4,52,3
