,,,,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,Other,Other,,-additional
Rk,Player,School,Conf,G,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts,-9999
71,La'Damian Webb*,South Alabama,Sun Belt,12,13,2,0,0,0,0,0,15,0,0,0,0,90,ladamian-webb-1
72,Jack Browning*,San Diego State,MWC,13,0,0,0,0,0,0,0,0,30,20,0,0,90,jack-browning-1
73,Briggs Bourgeois*,Southern Mississippi,Sun Belt,13,0,0,0,0,0,0,0,0,36,18,0,0,90,briggs-bourgeois-1
74,Jesus Gomez*,Eastern Michigan,MAC,13,0,0,0,0,0,0,0,0,47,14,0,0,89,jesus-gomez-1
75,Cam Little*,Arkansas,SEC,13,0,0,0,0,0,0,0,0,50,13,0,0,89,cam-little-1
76,Daniel Gutierrez,UNLV,MWC,12,0,0,0,0,0,0,0,0,34,18,0,0,88,daniel-gutierrez-1
77,Matthew Quinn*,UAB,CUSA,13,0,0,0,0,0,0,0,0,45,14,0,0,87,matthew-quinn-2
78,John Richardson,Northern Illinois,MAC,12,0,0,0,0,0,0,0,0,31,18,0,0,85,john-richardson-1
79,Matthew Dapore*,Air Force,MWC,13,0,0,0,0,0,0,0,0,37,16,0,0,85,matthew-dapore-1
80,Damian Ramos*,LSU,SEC,14,0,0,0,0,0,0,0,0,55,10,0,0,85,damian-ramos-1
81,Richard Reese*,Baylor,Big 12,13,14,0,0,0,0,0,0,14,0,0,0,0,84,richard-reese-1
82,Marvin Harrison Jr.*,Ohio State,Big Ten,13,0,14,0,0,0,0,0,14,0,0,0,0,84,marvin-harrison-jr-1
83,Miyan Williams*,Ohio State,Big Ten,11,14,0,0,0,0,0,0,14,0,0,0,0,84,miyan-williams-1
84,Nicholas Singleton*,Penn State,Big Ten,13,12,1,0,0,0,1,0,14,0,0,0,0,84,nicholas-singleton-1
85,Zach Charbonnet*,UCLA,Pac-12,10,14,0,0,0,0,0,0,14,0,0,0,0,84,zach-charbonnet-1
86,Colton Boomer*,UCF,American,12,0,0,0,0,0,0,0,0,42,14,0,0,84,colton-boomer-1
87,Adam Mihalek*,Florida,SEC,13,0,0,0,0,0,0,0,0,42,14,0,0,84,adam-mihalek-1
88,Andres Borregales,Miami (FL),ACC,12,0,0,0,0,0,0,0,0,32,17,0,0,83,andres-borregales-1
89,Camden Wise,James Madison,Sun Belt,11,0,0,0,0,0,0,0,0,50,11,0,0,83,camden-wise-1
90,Andrew Glass,Kent State,MAC,12,0,0,0,0,0,0,0,0,31,17,0,0,82,andrew-glass-1
91,Dominic Zvada,Arkansas State,Sun Belt,12,0,0,0,0,0,0,0,0,30,17,0,0,81,dominic-zvada-1
92,Casey Legg,West Virginia,Big 12,12,0,0,0,0,0,0,0,0,37,14,0,0,79,casey-legg-1
93,Ben VonGunten,Ball State,MAC,12,0,0,0,0,0,0,0,0,28,17,0,0,79,ben-vongunten-1
94,Riley Leonard*,Duke,ACC,13,13,0,0,0,0,0,0,13,0,0,0,0,78,riley-leonard-1
95,Sean Tucker*,Syracuse,ACC,12,11,2,0,0,0,0,0,13,0,0,0,0,78,sean-tucker-2
96,Chase Brown*,Illinois,Big Ten,12,10,3,0,0,0,0,0,13,0,0,0,0,78,chase-brown-3
97,Marquez Cooper,Kent State,MAC,12,13,0,0,0,0,0,0,13,0,0,0,0,78,marquez-cooper-1
98,George Holani*,Boise State,MWC,13,10,3,0,0,0,0,0,13,0,0,0,0,78,george-holani-1
99,Cameron Davis*,Washington,Pac-12,11,13,0,0,0,0,0,0,13,0,0,0,0,78,cameron-davis-3
100,Nakia Watson*,Washington State,Pac-12,11,9,4,0,0,0,0,0,13,0,0,0,0,78,nakia-watson-1
101,Joshua Karty,Stanford,Pac-12,12,0,0,0,0,0,0,0,0,24,18,0,0,78,joshua-karty-1
102,Jacob Barnes,Louisiana Tech,CUSA,12,0,0,0,0,0,0,0,0,38,13,0,0,77,jacob-barnes-1
103,Graham Nicholson*,Miami (OH),MAC,13,0,0,0,0,0,0,0,0,26,17,0,0,77,graham-nicholson-1
104,Kenneth Almendares*,Louisiana,Sun Belt,9,0,0,0,0,0,0,0,0,23,18,0,0,77,kenneth-almendares-1
105,Michael Hughes,Appalachian State,Sun Belt,12,0,0,0,0,0,0,0,0,50,9,0,0,77,michael-hughes-3
106,Valentino Ambrosio*,Tulane,American,9,0,0,0,0,0,0,0,0,43,11,0,0,76,valentino-ambrosio-2
107,Connor Coles*,Utah State,MWC,12,1,0,0,0,0,0,0,1,33,12,0,0,75,connor-coles-1
108,Matthew Shipley,Hawaii,MWC,13,0,0,0,0,0,0,0,0,27,16,0,0,75,matthew-shipley-1
109,Mitch Jeter*,South Carolina,SEC,13,0,0,0,0,0,0,0,0,42,11,0,0,75,mitch-jeter-1
110,Raheim Sanders*,Arkansas,SEC,13,10,2,0,0,0,0,0,12,0,0,1,0,74,raheim-sanders-1
111,Caleb Griffin*,Illinois,Big Ten,11,0,0,0,0,0,0,0,0,32,14,0,0,74,caleb-griffin-1
112,Christian VanSickle*,Rice,CUSA,13,0,0,0,0,0,0,0,0,38,12,0,0,74,christian-vansickle-1
113,Michael Hayes,Georgia State,Sun Belt,12,0,0,0,0,0,0,0,0,41,11,0,0,74,michael-hayes-4
114,Nick Brown*,Liberty,Ind,13,0,0,0,0,0,0,0,0,40,11,0,0,73,nick-brown-3
115,Taren Schive*,San Jose State,MWC,12,0,0,0,0,0,0,0,0,37,12,0,0,73,taren-schive-1
116,Dean Janikowski*,Washington State,Pac-12,12,0,0,0,0,0,0,0,0,40,11,0,0,73,dean-janikowski-1
117,Matt Ruffolo*,Kentucky,SEC,12,0,0,0,0,0,0,0,0,25,16,0,0,73,matt-ruffolo-1
118,Malik Cunningham*,Louisville,ACC,10,12,0,0,0,0,0,0,12,0,0,0,0,72,malik-cunningham-1
119,Zay Flowers,Boston College,ACC,12,0,12,0,0,0,0,0,12,0,0,0,0,72,zay-flowers-1
120,Deuce Vaughn*,Kansas State,Big 12,14,9,3,0,0,0,0,0,12,0,0,0,0,72,deuce-vaughn-1
121,Charlie Jones*,Purdue,Big Ten,13,0,12,0,0,0,0,0,12,0,0,0,0,72,charlie-jones-7
122,Emeka Egbuka*,Ohio State,Big Ten,13,2,10,0,0,0,0,0,12,0,0,0,0,72,emeka-egbuka-1
123,Audric Estime*,Notre Dame,Ind,13,11,1,0,0,0,0,0,12,0,0,0,0,72,audric-estime-1
124,Tyhier Tyler,Army,Ind,11,12,0,0,0,0,0,0,12,0,0,0,0,72,tyhier-tyler-1
125,Devontez Walker,Kent State,MAC,12,1,11,0,0,0,0,0,12,0,0,0,0,72,devontez-walker-1
126,Dedrick Parson,Hawaii,MWC,13,11,1,0,0,0,0,0,12,0,0,0,0,72,dedrick-parson-1
127,Toa Taua,Nevada,MWC,12,11,1,0,0,0,0,0,12,0,0,0,0,72,toa-taua-1
128,Dorian Thompson-Robinson*,UCLA,Pac-12,13,12,0,0,0,0,0,0,12,0,0,0,0,72,dorian-thompson-robinson-1
129,Wayne Taulapapa*,Washington,Pac-12,13,11,1,0,0,0,0,0,12,0,0,0,0,72,wayne-taulapapa-1
130,Devon Achane,Texas A&M,SEC,10,8,3,0,0,0,1,0,12,0,0,0,0,72,devon-achane-1
131,Jayden Daniels*,LSU,SEC,14,11,1,0,0,0,0,0,12,0,0,0,0,72,jayden-daniels-1
132,Kenny McIntosh*,Georgia,SEC,15,10,2,0,0,0,0,0,12,0,0,0,0,72,kenny-mcintosh-1
133,Tucker Gregg,Georgia State,Sun Belt,12,12,0,0,0,0,0,0,12,0,0,0,0,72,tucker-gregg-1
134,Drew Stevens*,Iowa,Big Ten,13,0,0,0,0,0,0,0,0,24,16,0,0,72,drew-stevens-2
135,Jake Oldroyd*,Brigham Young,Ind,13,0,0,0,0,0,0,0,0,45,9,0,0,72,jake-oldroyd-1
136,Rece Verhoff*,Marshall,Sun Belt,13,0,0,0,0,0,0,0,0,33,13,0,0,72,rece-verhoff-1
137,Abraham Montano*,Fresno State,MWC,12,0,0,0,0,0,0,0,0,34,12,0,0,70,abraham-montano-1
138,Kade Hensley*,Coastal Carolina,Sun Belt,13,0,0,0,0,0,0,0,0,46,8,0,0,70,kade-hensley-1
139,Seth Keller,Texas State,Sun Belt,12,0,0,0,0,0,0,0,0,28,14,0,0,70,seth-keller-1
140,Jacob Borcila*,Kansas,Big 12,11,0,0,0,0,0,0,0,0,48,7,0,0,69,jacob-borcila-1
141,Charles Campbell,Indiana,Big Ten,12,0,0,0,0,0,0,0,0,27,14,0,0,69,charles-campbell-3
142,Jaydn Ott,California,Pac-12,12,8,3,0,0,0,0,0,11,0,0,1,0,68,jaydn-ott-1
143,Jalen White*,Georgia Southern,Sun Belt,11,10,1,0,0,0,0,0,11,0,0,1,0,68,jalen-white-1
144,Nate Van Zelst*,Wisconsin,Big Ten,11,0,0,0,0,0,0,0,0,35,11,0,0,68,nate-van-zelst-1
145,Mason Lawler*,Bowling Green State,MAC,13,0,0,0,0,0,0,0,0,34,11,0,0,67,mason-lawler-1
146,A.T. Perry*,Wake Forest,ACC,13,0,11,0,0,0,0,0,11,0,0,0,0,66,at-perry-1
147,Josh Downs*,North Carolina,ACC,11,0,11,0,0,0,0,0,11,0,0,0,0,66,josh-downs-2
148,John Rhys Plumlee*,UCF,American,13,11,0,0,0,0,0,0,11,0,0,0,0,66,john-rhys-plumlee-1
149,Michael Pratt*,Tulane,American,13,10,1,0,0,0,0,0,11,0,0,0,0,66,michael-pratt-1
150,Eric Gray*,Oklahoma,Big 12,12,11,0,0,0,0,0,0,11,0,0,0,0,66,eric-gray-2
151,Braelon Allen*,Wisconsin,Big Ten,12,11,0,0,0,0,0,0,11,0,0,0,0,66,braelon-allen-1
152,Kaytron Allen*,Penn State,Big Ten,13,10,1,0,0,0,0,0,11,0,0,0,0,66,kaytron-allen-1
153,Roman Hemby*,Maryland,Big Ten,13,10,1,0,0,0,0,0,11,0,0,0,0,66,roman-hemby-1
154,Frank Peasant*,Middle Tennessee State,CUSA,13,9,2,0,0,0,0,0,11,0,0,0,0,66,frank-peasant-1
155,Jyaire Shorter*,North Texas,CUSA,13,0,11,0,0,0,0,0,11,0,0,0,0,66,jyaire-shorter-1
156,Malachi Corley*,Western Kentucky,CUSA,14,0,11,0,0,0,0,0,11,0,0,0,0,66,malachi-corley-1
157,Victor Rosa*,Connecticut,Ind,12,11,0,0,0,0,0,0,11,0,0,0,0,66,victor-rosa-1
158,Sam Wiglusz*,Ohio,MAC,14,0,11,0,0,0,0,0,11,0,0,0,0,66,sam-wiglusz-1
159,Michael Wiley,Arizona,Pac-12,11,8,3,0,0,0,0,0,11,0,0,0,0,66,michael-wiley-3
160,Marshawn Lloyd*,South Carolina,SEC,9,9,2,0,0,0,0,0,11,0,0,0,0,66,marshawn-lloyd-1
161,Montrell Johnson*,Florida,SEC,13,10,1,0,0,0,0,0,11,0,0,0,0,66,montrell-johnson-1
162,John Mayers*,Baylor,Big 12,12,0,0,0,0,0,0,0,0,42,8,0,0,66,john-mayers-1
163,Carter Brown,Arizona State,Pac-12,12,0,0,0,0,0,0,0,0,33,11,0,0,66,carter-brown-1
164,Morgan Suarez,Florida Atlantic,CUSA,10,0,0,0,0,0,0,0,0,38,9,0,0,65,morgan-suarez-1
165,Quinn Maretzki,Army,Ind,12,0,0,0,0,0,0,0,0,41,8,0,0,65,quinn-maretzki-1
166,Tre Harris,Louisiana Tech,CUSA,12,0,10,0,0,0,0,0,10,0,0,2,0,64,tre-harris-1
167,Spencer Shrader,South Florida,American,12,0,0,0,0,0,0,0,0,37,9,0,0,64,spencer-shrader-1
168,Ty Zentner*,Kansas State,Big 12,14,0,0,0,0,0,0,0,0,31,11,0,0,64,ty-zentner-1
169,Noe Ruelas*,Connecticut,Ind,13,0,0,0,0,0,0,0,0,28,12,0,0,64,noe-ruelas-1
170,Dario Longhetto,California,Pac-12,12,0,0,0,0,0,0,0,0,31,11,0,0,64,dario-longhetto-1
171,Randy Bond,Texas A&M,SEC,10,0,0,0,0,0,0,0,0,25,13,0,0,64,randy-bond-1
172,C.J. Johnson*,East Carolina,American,13,0,10,0,0,0,0,0,10,0,0,1,0,62,cj-johnson-6
173,Brad Rozner*,Rice,CUSA,13,0,10,0,0,0,0,0,10,0,0,1,0,62,brad-rozner-1
174,Elijah Cooks*,San Jose State,MWC,12,0,10,0,0,0,0,0,10,0,0,1,0,62,elijah-cooks-1
175,Calum Sutherland,Louisiana-Monroe,Sun Belt,12,0,0,0,0,0,0,0,0,32,10,0,0,62,calum-sutherland-1
176,Timmy Bleekrode,Nebraska,Big Ten,12,0,0,0,0,0,0,0,0,34,9,0,0,61,timmy-bleekrode-1
177,Trey Benson*,Florida State,ACC,13,9,0,0,0,0,1,0,10,0,0,0,0,60,trey-benson-2
178,Rashee Rice*,SMU,American,12,0,10,0,0,0,0,0,10,0,0,0,0,60,rashee-rice-1
179,Tyler Lavine*,SMU,American,13,10,0,0,0,0,0,0,10,0,0,0,0,60,tyler-lavine-1
180,Adrian Martinez*,Kansas State,Big 12,10,10,0,0,0,0,0,0,10,0,0,0,0,60,adrian-martinez-2
181,Devin Neal*,Kansas,Big 12,13,9,1,0,0,0,0,0,10,0,0,0,0,60,devin-neal-3
182,Ikaika Ragsdale*,North Texas,CUSA,13,7,3,0,0,0,0,0,10,0,0,0,0,60,ikaika-ragsdale-1
183,Puka Nacua*,Brigham Young,Ind,9,5,5,0,0,0,0,0,10,0,0,0,0,60,puka-nacua-1
184,Aidan Robbins,UNLV,MWC,11,9,1,0,0,0,0,0,10,0,0,0,0,60,aidan-robbins-1
185,Kairee Robinson*,San Jose State,MWC,12,10,0,0,0,0,0,0,10,0,0,0,0,60,kairee-robinson-1
186,Nikko Remigio*,Fresno State,MWC,14,2,6,0,0,2,0,0,10,0,0,0,0,60,nikko-remigio-1
187,Taylen Green*,Boise State,MWC,13,10,0,0,0,0,0,0,10,0,0,0,0,60,taylen-green-1
188,Caleb Williams*,USC,Pac-12,14,10,0,0,0,0,0,0,10,0,0,0,0,60,caleb-williams-3
189,Brock Bowers*,Georgia,SEC,15,3,7,0,0,0,0,0,10,0,0,0,0,60,brock-bowers-1
190,Jahmyr Gibbs*,Alabama,SEC,12,7,3,0,0,0,0,0,10,0,0,0,0,60,jahmyr-gibbs-1
191,Jase McClellan*,Alabama,SEC,13,7,3,0,0,0,0,0,10,0,0,0,0,60,jase-mcclellan-1
192,Jaylen Wright*,Tennessee,SEC,13,10,0,0,0,0,0,0,10,0,0,0,0,60,jaylen-wright-1
