2,63,DEN,Marvin Mims Jr.,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,MimsMa00
3,64,CHI,Zacch Pickens,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,PickZa00
3,65,PHI,Tyler Steen,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,SteeTy00
3,66,PHI,Sydney Brown,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,BrowSy00
3,67,DEN,Drew Sanders,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats,SandDr00
3,68,DET,Hendon Hooker,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,HookHe00
3,69,HOU,Nathaniel Dell,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats,DellNa00
3,70,LVR,Byron Young,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,YounBy00
3,71,NOR,Kendre Miller,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,MillKe01
3,72,ARI,Garrett Williams,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse,College Stats,WillGa00
3,73,NYG,Jalin Hyatt,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,HyatJa00
3,74,CLE,Cedric Tillman,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,TillCe01
3,75,ATL,Zach Harrison,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HarrZa00
3,76,NWE,Marte Mapu,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Sacramento St.,,MapuMa00
3,77,LAR,Byron Young,EDGE,25,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,YounBy01
3,78,GNB,Tucker Kraft,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,South Dakota St.,,KrafTu00
3,79,IND,Josh Downs,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats,DownJo00
3,80,CAR,DJ Johnson,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,,JohnDJ00
3,81,TEN,Tyjae Spears,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,SpeaTy00
3,82,TAM,YaYa Diaby,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,DiabYa00
3,83,DEN,Riley Moss,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,MossRi00
3,84,MIA,Devon Achane,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,AchaDe00
3,85,LAC,Daiyan Henley,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats,HenlDa00
3,86,BAL,Trenton Simpson,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,SimpTr00
3,87,SFO,Ji'Ayir Brown,SAF,,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,BrowJi01
3,88,JAX,Tank Bigsby,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,BigsTa00
3,89,LAR,Kobie Turner,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,Wake Forest,College Stats,TurnKo00
3,90,DAL,DeMarvion Overshown,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,OverDe00
3,91,BUF,Dorian Williams,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,WillDo04
3,92,KAN,Wanya Morris,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,MorrWa01
3,93,PIT,Darnell Washington,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,WashDa03
3,94,ARI,Michael Wilson,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats,WilsMi02
3,95,CIN,Jordan Battle,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,BattJo00
