,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
115,Northern Illinois,12,32.8,18.7,30.1,62.0,252.8,2.7,37.2,142.8,3.8,1.2,67.3,395.7,5.9,11.9,8.1,2.3,22.3,5.3,48.5,1.0,0.7,1.7
116,West Virginia,12,32.9,19.1,32.2,59.3,262.7,1.8,36.2,149.6,4.1,2.0,68.3,412.3,6.0,11.3,8.5,1.8,21.7,6.0,58.5,0.5,0.3,0.8
117,Tulsa,12,33.1,16.3,28.2,57.7,206.3,1.8,42.3,207.8,4.9,1.7,70.4,414.2,5.9,8.8,10.3,1.6,20.6,6.3,59.2,0.8,0.5,1.3
118,Akron,12,33.5,17.8,29.6,60.0,243.8,1.8,38.2,162.4,4.3,2.1,67.8,406.2,6.0,9.8,9.3,2.0,21.1,7.9,64.9,0.3,0.8,1.1
119,SMU,13,33.8,17.5,30.7,56.9,227.5,1.9,41.2,203.6,4.9,2.3,71.8,431.2,6.0,9.9,10.3,1.6,21.8,7.7,67.3,0.7,0.8,1.5
120,Indiana,12,33.9,21.8,34.1,64.1,274.2,2.5,42.2,174.7,4.1,1.6,76.3,448.8,5.9,12.4,8.7,1.9,23.0,7.4,67.2,0.6,0.6,1.2
121,Rice,13,34.2,16.2,26.5,60.9,208.6,2.2,33.8,181.5,5.4,1.6,60.3,390.2,6.5,8.7,8.2,2.1,18.9,6.3,57.0,0.8,0.6,1.5
122,Louisiana-Monroe,12,34.4,19.2,28.8,66.5,232.7,1.4,40.3,195.1,4.8,2.4,69.1,427.8,6.2,10.6,9.8,1.2,21.5,6.9,67.6,0.2,0.5,0.7
123,Hawaii,13,34.7,18.1,28.3,63.9,224.8,1.6,38.1,212.7,5.6,2.2,66.4,437.5,6.6,9.9,10.2,1.6,21.7,5.2,48.6,0.3,0.8,1.1
124,Kansas,13,35.5,21.3,32.9,64.7,260.2,1.6,43.4,209.2,4.8,2.8,76.3,469.4,6.2,11.9,11.0,1.9,24.8,4.8,39.5,0.8,0.9,1.7
125,Vanderbilt,12,36.0,21.4,33.3,64.4,290.5,2.4,33.1,170.8,5.2,2.1,66.3,461.3,7.0,12.1,7.5,1.8,21.3,6.0,54.8,0.8,0.5,1.3
126,Arizona,12,36.5,23.3,33.4,69.8,258.6,2.1,37.4,209.1,5.6,2.8,70.8,467.7,6.6,11.6,11.7,2.5,25.8,5.1,49.1,1.0,0.3,1.3
127,Florida International,12,37.3,22.2,33.7,65.8,260.3,2.0,41.1,191.8,4.7,2.6,74.8,452.1,6.0,11.8,10.0,2.4,24.3,5.4,47.1,0.8,0.6,1.3
128,Louisiana Tech,12,37.9,18.3,32.2,56.7,225.6,1.7,39.8,243.2,6.1,2.8,71.9,468.8,6.5,10.3,11.7,2.2,24.2,8.1,72.1,0.9,0.9,1.8
129,Charlotte,12,39.4,20.0,28.6,70.0,278.5,2.3,39.8,205.3,5.2,2.4,68.3,483.8,7.1,11.3,10.8,2.2,24.3,6.3,53.9,0.3,0.8,1.1
130,South Florida,12,41.2,22.9,31.3,73.3,282.0,2.1,38.3,234.6,6.1,3.1,69.6,516.6,7.4,13.3,11.2,1.3,25.8,5.3,46.1,0.8,0.5,1.3
131,Colorado,12,44.5,20.4,30.4,67.1,264.7,2.6,40.4,245.1,6.1,3.3,70.8,509.8,7.2,12.1,12.5,1.2,25.8,6.0,53.5,0.4,0.5,0.9
