Chase Jones,LB,33,41,74,2.0,12,2,1,0,0,0,1
Ty'Ron Hopper,LB,60,14,74,3.0,25,2,1,15,15,0,1
Gervarrius Owens,S,55,19,74,0.0,0,7,1,24,24,0,2
Bryun Parham,LB,39,35,74,3.0,20,2,0,0,0,0,2
Ji'Ayir Brown,S,56,18,74,4.5,26,4,4,114,35,0,2
Josh Hayes,S,50,23,73,0.0,0,7,0,0,0,0,1
Simeon Blair,DB,42,31,73,0.0,0,5,0,0,0,0,0
Ryan Selig,LB,38,35,73,1.5,11,2,0,0,0,0,1
Ben VanSumeren,LB,25,48,73,2.0,22,2,0,0,0,0,0
Demani Richardson,DB,48,25,73,0.0,0,5,1,0,0,0,1
Myles Farmer,DB,38,35,73,0.0,0,4,1,17,17,0,0
Dadrion Taylor-Demerson,DB,53,20,73,1.0,3,5,3,0,0,0,2
Sanoussi Kane,DB,55,18,73,1.0,11,3,0,0,0,0,2
Shae Suiaunoa,LB,43,30,73,2.5,18,2,1,18,18,0,0
Trenton Simpson,LB,41,32,73,2.5,14,3,0,0,0,0,2
Barrett Carter,LB,41,32,73,5.5,44,8,2,1,1,0,2
Clifford Chattman,S,45,27,72,0.0,0,14,5,78,30,0,0
Bennett Williams,S,48,24,72,1.0,29,6,2,3,3,0,2
Tyler Taylor,LB,29,43,72,1.5,7,0,1,16,16,0,0
Nate Thompson,DB,37,35,72,0.0,0,1,0,0,0,0,0
Kam Pedescleaux,S,40,32,72,0.0,0,6,1,0,0,0,2
Michael Barrett,LB,37,35,72,3.5,36,1,2,52,52,1,0
Ashanti Cistrunk,LB,28,44,72,1.0,11,1,0,0,0,0,1
Harold Perkins Jr.,LB,39,33,72,7.5,59,4,1,-3,-3,0,3
Isaac Darkangelo,LB,43,29,72,1.0,3,0,0,0,0,0,0
Karene Reid,LB,34,38,72,5.0,38,3,1,13,13,0,1
Jaiden Woodbey,S,36,35,71,0.0,0,2,0,0,0,0,0
Malcolm Lee,DL,19,12,31,1.0,5,2,0,0,0,0,0
Gerry Vaughn,LB,30,41,71,1.5,7,0,0,0,0,0,1
Alphonzo Tuputala,LB,37,34,71,3.0,15,0,0,0,0,0,0
Antonio Johnson,S,35,36,71,1.0,1,1,0,0,0,0,3
Daveren Rayner,LB,30,41,71,3.5,17,0,0,0,0,0,0
Jordan Battle,S,34,37,71,0.0,0,2,1,0,0,0,0
Chelen Garnes,DB,43,28,71,1.0,12,3,1,0,0,0,0
Quinn Perry,LB,38,33,71,1.0,9,2,0,0,0,0,0
Quinn Schulte,DB,43,28,71,0.0,0,6,1,0,0,0,0
Trevian Thomas,S,41,30,71,0.0,0,1,1,27,27,1,1
Kendal Daniels,S,45,26,71,0.0,0,5,3,20,12,0,1
Eric Gentry,LB,50,21,71,2.0,17,3,1,0,0,0,2
Rod Moore,DB,48,23,71,0.5,7,3,4,71,37,0,0
Cody Lindenberg,LB,46,25,71,1.0,2,2,0,0,0,0,0
Charlie Gray,LB,35,36,71,2.5,16,2,2,4,4,0,1
Rayuan Lane III,S,43,28,71,1.0,6,4,0,0,0,0,2
Monty Montgomery,LB,33,37,70,6.0,61,2,2,15,9,0,4
Gerard Stringer,S,32,38,70,2.5,13,0,1,10,10,0,3
Jeremiah Lewis,DB,48,22,70,0.0,0,4,0,0,0,0,0
Isaac Gifford,DB,43,27,70,1.0,7,3,0,0,0,0,0
Jaheim Thomas,LB,25,45,70,2.0,17,0,0,0,0,0,0
Tyreem Powell,LB,34,36,70,3.0,6,4,0,0,0,0,0
Jamon Dumas-Johnson,LB,45,25,70,4.0,24,3,0,0,0,0,1
Dion Hunter,LB,21,49,70,2.0,4,1,0,0,0,0,0
Peter Manuma,DB,40,30,70,1.0,13,4,2,30,30,0,2
Trevor Brohard,LB,39,30,69,1.0,2,1,1,0,0,0,0
Armani-Eli Adams,S,43,26,69,0.0,0,7,1,0,0,0,1
MJ Tafisi Jr.,LB,27,42,69,1.0,9,1,0,0,0,0,0
Macon Clark,S,55,14,69,0.0,0,4,2,6,6,0,4
Javon Scruggs,S,35,34,69,2.0,23,1,1,0,0,0,2
Viliami Fehoko Jr.,DE,41,28,69,9.0,60,1,0,0,0,0,2
Giovanni Biggers,DB,40,29,69,0.0,0,2,0,0,0,0,0
Jordan Revels,DE,27,42,69,4.5,33,1,0,0,0,0,0
Malaki Starks,DB,45,24,69,0.0,0,7,2,42,42,0,0
Trey Taylor,S,41,28,69,1.0,15,4,2,15,15,0,0
Oluwafemi Oladejo,LB,29,40,69,1.0,4,0,0,0,0,0,1
Armani Marsh,DB,49,19,68,2.0,19,6,1,3,3,0,1
Andre Carter,DL,35,33,68,7.0,41,2,1,11,11,0,2
James Miller,LB,39,29,68,2.5,18,3,0,0,0,0,0
TD Blackmon,LB,31,37,68,3.5,32,1,0,0,0,0,2
Maki Carabin,LB,37,31,68,0.0,0,2,1,11,11,0,0
Trevor Harmanson,LB,33,35,68,0.5,2,2,0,0,0,0,1
Beau Freyler,DB,31,37,68,0.0,0,2,1,18,18,0,1
Tyson Williams,DB,45,22,67,2.0,3,2,1,0,0,0,2
Tyler Murray,LB,38,29,67,0.0,0,2,2,0,0,0,0
Ja'von Hicks,S,29,38,67,0.0,0,4,3,64,45,1,0
Rod Heard II,DB,47,20,67,1.0,7,2,1,0,0,0,1
Dell Pettus,S,32,35,67,0.0,0,2,0,0,0,0,0
Woodi Washington,DB,42,25,67,0.0,0,6,1,0,0,0,1
DJ Gordon IV,LB,40,27,67,0.0,0,1,0,0,0,0,2
Justin Whiteside,LB,34,33,67,0.5,4,1,1,11,11,0,0
DeAndre Boykins,DB,48,19,67,2.0,21,7,1,0,0,0,0
Hudson Clark,DB,33,34,67,0.0,0,11,1,0,0,0,2
Brandon Hill,S,39,28,67,0.0,0,2,0,0,0,0,0
Reco Hannah,LB,24,43,67,4.0,26,1,1,22,22,1,1
Malachi Langley,LB,39,28,67,1.0,2,2,2,16,11,0,0
Wyett Ekeler,S,44,23,67,0.0,0,7,1,-2,-2,0,1
Sidney Houston Jr.,LB,31,36,67,4.0,28,1,0,0,0,0,0
Keyshawn Cobb,S,36,31,67,1.5,13,7,1,26,26,1,3
Bricen Garner,S,43,23,66,0.0,0,4,2,0,0,0,0
Justin Broiles,DB,35,31,66,0.0,0,2,1,0,0,0,0
Isaac Slade-Matautia,LB,32,34,66,3.0,28,2,1,-3,-3,0,0
Jordan Ferguson,DE,34,32,66,9.0,77,6,1,0,0,0,2
Mekhi Blackmon,CB,45,21,66,0.0,0,13,3,31,17,0,1
Logan Doublin,LB,25,41,66,1.0,7,2,2,19,19,0,0
Chamarri Conner,S,37,29,66,0.0,0,2,0,0,0,0,0
TJ Harris,S,33,33,66,4.5,19,4,1,5,5,0,0
Devon Matthews,DB,36,30,66,0.0,0,3,1,0,0,0,0
Andrew Parker,LB,28,38,66,1.0,14,1,0,0,0,0,1
Bryce Jackson,DB,46,20,66,0.0,0,3,2,-1,0,0,0
Jarvis Brownlee Jr.,DB,51,15,66,0.0,0,12,2,4,4,0,0
Evan Williams,DB,54,12,66,1.0,7,4,0,0,0,0,0
Isheem Young,S,30,36,66,0.5,6,2,1,0,0,0,0
Chris Russell Jr.,LB,33,33,66,2.5,15,1,0,0,0,0,1
Eddie Williams,LB,25,41,66,2.5,7,0,0,0,0,0,1
Aubrey Burks,S,46,20,66,1.0,9,2,1,6,6,0,1
Isaac White,S,47,19,66,0.5,3,3,0,0,0,0,0
Abraham Beauplan,LB,21,45,66,1.0,9,3,1,7,7,0,1
Myles Berry,LB,35,30,65,3.0,26,5,0,0,0,0,1
Desjuan Johnson,DE,26,39,65,5.5,30,0,1,12,12,0,0
Jarron Morris,DB,32,33,65,0.0,0,3,1,0,0,0,1
Decorian Patterson,DB,46,19,65,0.0,0,11,7,14,9,0,0
Garrett Nelson,LB,35,30,65,5.5,40,2,0,0,0,0,1
D'Eryk Jackson,LB,25,40,65,0.0,0,2,0,0,0,0,0
Jose Ramirez,LB,38,27,65,12.0,76,2,0,0,0,0,2
Quinn Whitlock,DB,33,32,65,0.0,0,4,1,3,3,0,0
Alec Mock,LB,24,41,65,1.0,8,3,0,0,0,0,0
Levi Bell,DL,26,39,65,5.0,36,0,0,0,0,0,0
Jaydon Grant,DB,36,28,64,1.0,10,6,3,0,0,0,1
Delano Ware,S,40,24,64,0.0,0,1,2,108,97,1,1
Jartavius Martin,S,51,13,64,1.0,6,11,3,0,0,0,2
Sean Michael Flanagan,S,45,19,64,0.0,0,3,0,0,0,0,0
Marcus Fuqua,S,35,29,64,0.0,0,5,7,85,23,0,0
Derrick Canteen,CB,39,25,64,1.0,7,11,1,4,4,0,0
Cam Riley,LB,38,26,64,0.0,0,1,0,0,0,0,0
Matt Jones,LB,43,21,64,2.5,23,4,0,0,0,0,0
Kobe Wilson,LB,39,25,64,1.5,15,2,0,0,0,0,1
Jordan Turner,LB,37,27,64,2.0,8,1,1,-1,-1,0,0
Kaleb Oliver,DB,42,21,63,2.0,23,1,4,72,42,0,1
Nick Roberts,S,46,17,63,0.0,0,2,3,88,61,0,2
Ameer Speed,CB,37,26,63,0.0,0,5,0,0,0,0,0
Yasir Abdullah,LB,34,29,63,9.5,74,4,2,20,20,0,4
Anthony Cook,S,38,25,63,0.5,0,5,0,0,0,0,1
Jack McCrory,DE,29,34,63,4.0,32,3,0,0,0,0,2
Corey Mayfield Jr.,CB,50,13,63,3.0,16,12,3,15,15,0,1
Marcis Floyd,S,44,19,63,0.0,0,4,0,0,0,0,1
Kahlef Hailassie,S,43,20,63,3.0,16,10,2,11,11,0,2
Kalen DeLoach,LB,32,31,63,3.0,20,7,0,0,0,0,0
Reddy Steward,CB,43,20,63,0.0,0,11,3,78,78,1,0
Greg Brooks Jr.,S,36,27,63,1.0,3,3,2,30,30,0,1
D.J. Miller Jr.,DB,42,21,63,0.0,0,4,0,0,0,0,0
Jacquez Warren,CB,34,29,63,0.0,0,1,2,66,62,1,1
Jonas Sanker,S,36,27,63,0.0,0,2,1,14,14,0,1
Ahmad Walker,LB,33,30,63,4.0,29,2,1,19,19,0,1
Tristan Driggers,LB,37,26,63,1.0,7,2,3,10,10,0,0
Keenan Pili,LB,29,33,62,1.0,10,1,0,0,0,0,1
O'Rien Vance,LB,28,34,62,3.5,28,0,0,0,0,0,3
Jordan Wright,LB,32,30,62,2.0,14,3,1,18,18,0,0
C.J. Goetz,LB,29,33,62,2.0,12,2,0,0,0,0,0
Jasir Cox,LB,34,28,62,0.5,5,3,0,0,0,0,0
Prince Bemah,LB,33,29,62,2.0,15,1,0,0,0,0,1
