,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
153,Jabari Small*,Tennessee,SEC,13,157,734,4.7,13,12,106,8.8,2,169,840,5.0,15,jabari-small-1
154,Tahj Brooks*,Texas Tech,Big 12,13,147,691,4.7,7,26,164,6.3,1,173,855,4.9,8,tahj-brooks-1
155,DK Billingsley*,Troy,Sun Belt,14,142,670,4.7,8,4,20,5.0,0,146,690,4.7,8,dk-billingsley-1
156,Henry Parrish Jr.,Miami (FL),ACC,10,130,616,4.7,4,17,120,7.1,2,147,736,5.0,6,henry-parrish-jr-1
157,Frank Harris*,UTSA,CUSA,14,129,602,4.7,9,2,12,6.0,0,131,614,4.7,9,frank-harris-3
158,Jaylen Coleman*,Duke,ACC,9,102,480,4.7,4,6,49,8.2,1,108,529,4.9,5,jaylen-coleman-2
159,Treyson Potts*,Minnesota,Big Ten,12,101,471,4.7,3,3,23,7.7,0,104,494,4.8,3,treyson-potts-1
160,Deion Smith,Colorado,Pac-12,10,83,393,4.7,2,11,84,7.6,0,94,477,5.1,2,deion-smith-1
161,Robby Ashford,Auburn,SEC,12,153,710,4.6,7,0,0,,0,153,710,4.6,7,robby-ashford-1
162,Jalen Berger,Michigan State,Big Ten,12,148,683,4.6,6,19,128,6.7,0,167,811,4.9,6,jalen-berger-1
163,Tyhier Tyler,Army,Ind,11,143,663,4.6,12,2,17,8.5,0,145,680,4.7,12,tyhier-tyler-1
164,Jordan Waters*,Duke,ACC,13,123,566,4.6,8,16,106,6.6,0,139,672,4.8,8,jordan-waters-1
165,Nate Jones,New Mexico,MWC,11,118,544,4.6,2,4,6,1.5,0,122,550,4.5,2,nate-jones-9
166,Cam Wiley,Akron,MAC,10,106,486,4.6,5,22,117,5.3,0,128,603,4.7,5,cam-wiley-1
167,Tyson Riley,Army,Ind,10,95,441,4.6,2,1,2,2.0,0,96,443,4.6,2,tyson-riley-1
168,Omarion Hampton*,North Carolina,ACC,13,88,401,4.6,6,6,40,6.7,1,94,441,4.7,7,omarion-hampton-1
169,Re'Mahn Davis,Vanderbilt,SEC,12,232,1042,4.5,5,29,169,5.8,3,261,1211,4.6,8,remahn-davis-1
170,Lincoln Pare,Texas State,Sun Belt,12,172,772,4.5,5,29,229,7.9,1,201,1001,5.0,6,lincoln-pare-1
171,Ronald Awatt,UTEP,CUSA,12,163,734,4.5,2,6,76,12.7,0,169,810,4.8,2,ronald-awatt-1
172,Darren Grainger,Georgia State,Sun Belt,12,164,733,4.5,6,0,0,,0,164,733,4.5,6,darren-grainger-1
173,Brenden Brady*,UTSA,CUSA,12,156,699,4.5,9,18,190,10.6,0,174,889,5.1,9,brenden-brady-1
174,Tyler Lavine*,SMU,American,13,142,642,4.5,10,16,122,7.6,0,158,764,4.8,10,tyler-lavine-1
175,Victor Rosa*,Connecticut,Ind,12,140,636,4.5,11,5,15,3.0,0,145,651,4.5,11,victor-rosa-1
176,Aveon Smith*,Miami (OH),MAC,10,123,553,4.5,6,0,0,,0,123,553,4.5,6,aveon-smith-1
177,Davion Ervin-Poindexter*,Western Kentucky,CUSA,14,116,525,4.5,3,15,84,5.6,0,131,609,4.6,3,davion-ervin-poindexter-1
178,Hassan Hall,Georgia Tech,ACC,12,116,521,4.5,1,28,165,5.9,0,144,686,4.8,1,hassan-hall-1
179,Jovantae Barnes*,Oklahoma,Big 12,11,116,519,4.5,5,5,26,5.2,0,121,545,4.5,5,jovantae-barnes-1
180,Jirehl Brock,Iowa State,Big 12,10,99,445,4.5,3,21,113,5.4,1,120,558,4.7,4,jirehl-brock-1
181,Perris Jones,Virginia,ACC,8,81,365,4.5,2,6,43,7.2,2,87,408,4.7,4,perris-jones-1
182,Calvin Tyler Jr.*,Utah State,MWC,13,253,1122,4.4,7,15,129,8.6,1,268,1251,4.7,8,calvin-tyler-jr-1
183,Dedrick Parson,Hawaii,MWC,13,187,830,4.4,11,30,171,5.7,1,217,1001,4.6,12,dedrick-parson-1
184,Cody Schrader*,Missouri,SEC,13,170,745,4.4,9,19,137,7.2,0,189,882,4.7,9,cody-schrader-1
185,Cam Fancher*,Marshall,Sun Belt,13,107,466,4.4,1,0,0,,0,107,466,4.4,1,cam-fancher-1
186,Chris Tyree*,Notre Dame,Ind,13,100,444,4.4,3,24,138,5.8,2,124,582,4.7,5,chris-tyree-1
187,Nathaniel Peat*,Missouri,SEC,12,100,438,4.4,2,10,66,6.6,1,110,504,4.6,3,nathaniel-peat-1
188,Justin Johnson Jr.,West Virginia,Big 12,12,98,430,4.4,3,8,46,5.8,1,106,476,4.5,4,justin-johnson-jr-1
189,Jaylon Jackson*,Eastern Michigan,MAC,13,90,398,4.4,2,13,127,9.8,0,103,525,5.1,2,jaylon-jackson-2
190,Josh Henderson,Indiana,Big Ten,12,90,398,4.4,4,24,274,11.4,4,114,672,5.9,8,josh-henderson-2
191,Anton Hall,Navy,American,10,89,390,4.4,3,1,62,62.0,1,90,452,5.0,4,anton-hall-1
192,Calvin Hill,Texas State,Sun Belt,7,76,333,4.4,1,8,46,5.8,0,84,379,4.5,1,calvin-hill-4
193,Frank Peasant*,Middle Tennessee State,CUSA,13,182,777,4.3,9,28,286,10.2,2,210,1063,5.1,11,frank-peasant-1
194,Edward Saydee,Temple,American,12,149,639,4.3,6,36,262,7.3,0,185,901,4.9,6,edward-saydee-1
195,Ron Cook Jr.*,Buffalo,MAC,10,139,600,4.3,4,16,207,12.9,0,155,807,5.2,4,ron-cook-jr-1
196,Jaison Patterson*,Bowling Green State,MAC,13,135,583,4.3,1,7,31,4.4,0,142,614,4.3,1,jaison-patterson-1
197,Elijah Green*,North Carolina,ACC,14,131,558,4.3,8,17,107,6.3,1,148,665,4.5,9,elijah-green-1
198,Clayton Tune*,Houston,American,13,128,544,4.3,5,0,0,,0,128,544,4.3,5,clayton-tune-1
199,Shedro Louis*,Liberty,Ind,12,122,529,4.3,8,9,81,9.0,0,131,610,4.7,8,shedro-louis-1
200,Keyon Mozee*,Miami (OH),MAC,11,109,471,4.3,2,2,6,3.0,0,111,477,4.3,2,keyon-mozee-1
201,Samuel Brown V,Rutgers,Big Ten,7,85,369,4.3,3,4,17,4.3,0,89,386,4.3,3,samuel-brown-v-1
202,Andrew Henry,Louisiana-Monroe,Sun Belt,12,75,323,4.3,4,11,92,8.4,1,86,415,4.8,5,andrew-henry-2
203,Anthony Grant,Nebraska,Big Ten,12,218,915,4.2,6,18,104,5.8,0,236,1019,4.3,6,anthony-grant-1
204,Toa Taua,Nevada,MWC,12,217,911,4.2,11,41,295,7.2,1,258,1206,4.7,12,toa-taua-1
205,Mike Washington*,Buffalo,MAC,13,150,625,4.2,7,23,135,5.9,1,173,760,4.4,8,mike-washington-5
206,Shadrick Byrd,Charlotte,CUSA,12,149,620,4.2,4,21,222,10.6,1,170,842,5.0,5,shadrick-byrd-1
207,Brady Cook*,Missouri,SEC,13,139,585,4.2,6,0,0,,0,139,585,4.2,6,brady-cook-1
208,Tony Mathis,West Virginia,Big 12,10,135,562,4.2,5,7,19,2.7,0,142,581,4.1,5,tony-mathis-2
209,Chez Mellusi*,Wisconsin,Big Ten,9,112,473,4.2,2,2,25,12.5,1,114,498,4.4,3,chez-mellusi-1
210,Rodney Hammond Jr.*,Pitt,ACC,8,109,460,4.2,5,6,73,12.2,0,115,533,4.6,5,rodney-hammond-jr-1
211,Steven Anderson,Tulsa,American,10,84,352,4.2,6,3,56,18.7,0,87,408,4.7,6,steven-anderson-1
212,Evan Hull,Northwestern,Big Ten,12,221,913,4.1,5,55,546,9.9,2,276,1459,5.3,7,evan-hull-2
213,Daba Fofana,Navy,American,12,186,769,4.1,6,0,0,,0,186,769,4.1,6,daba-fofana-1
214,Tucker Gregg,Georgia State,Sun Belt,12,172,705,4.1,12,6,67,11.2,0,178,772,4.3,12,tucker-gregg-1
215,Justice Ellison*,Wake Forest,ACC,13,170,699,4.1,6,6,62,10.3,0,176,761,4.3,6,justice-ellison-1
216,K.J. Jefferson*,Arkansas,SEC,11,158,640,4.1,9,0,0,,0,158,640,4.1,9,kj-jefferson-1
217,Shaun Shivers,Indiana,Big Ten,12,143,592,4.1,6,22,128,5.8,1,165,720,4.4,7,shaun-shivers-1
218,Kyle Monangai,Rutgers,Big Ten,12,109,445,4.1,2,6,31,5.2,0,115,476,4.1,2,kyle-monangai-1
219,Hendon Hooker*,Tennessee,SEC,11,104,430,4.1,5,0,0,,0,104,430,4.1,5,hendon-hooker-1
